ticker,cik,filing_date,10k_link,long_term_outlook
INTC,50863,1998-03-27,https://www.sec.gov/Archives/edgar/data/50863/0000050863-98-000031.txt,1
HRB,12659,2011-06-23,https://www.sec.gov/Archives/edgar/data/12659/000095012311061237/0000950123-11-061237.txt,1
PCAR,75362,2007-02-26,https://www.sec.gov/Archives/edgar/data/75362/000110465907013855/0001104659-07-013855.txt,1
ATI,1018963,2012-02-27,https://www.sec.gov/Archives/edgar/data/1018963/000119312512081765/0001193125-12-081765.txt,0
REGN,872589,2009-02-26,https://www.sec.gov/Archives/edgar/data/872589/000120677409000338/0001206774-09-000338.txt,1
MAS,62996,2004-02-27,https://www.sec.gov/Archives/edgar/data/62996/000095012404000587/0000950124-04-000587.txt,1
APH,820313,2015-02-20,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/0001104659-15-012575.txt,0
MCD,63908,1996-03-28,https://www.sec.gov/Archives/edgar/data/63908/0000063908-96-000016.txt,1
CERN,804753,2013-02-08,https://www.sec.gov/Archives/edgar/data/804753/000080475313000004/0000804753-13-000004.txt,1
SIAL,90185,1996-03-29,https://www.sec.gov/Archives/edgar/data/90185/0000090185-96-000007.txt,1
KR,56873,2006-04-07,https://www.sec.gov/Archives/edgar/data/56873/000120677406000702/0001206774-06-000702.txt,1
ADSK,769397,2008-03-28,https://www.sec.gov/Archives/edgar/data/769397/000119312508068567/0001193125-08-068567.txt,0
XRX,108772,1997-03-27,https://www.sec.gov/Archives/edgar/data/108772/0000108772-97-000009.txt,1
IVZ,914208,2009-02-27,https://www.sec.gov/Archives/edgar/data/914208/000091420809000511/0000914208-09-000511.txt,1
PGR,80661,2005-03-01,https://www.sec.gov/Archives/edgar/data/80661/000095015205001650/0000950152-05-001650.txt,1
GGP,1496048,2011-03-08,https://www.sec.gov/Archives/edgar/data/1496048/000104746911001829/0001047469-11-001829.txt,0
MSFT,789019,2009-07-30,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735.txt,1
AVY,8818,2009-02-25,https://www.sec.gov/Archives/edgar/data/8818/000095014809000021/0000950148-09-000021.txt,1
EMR,32604,2003-11-14,https://www.sec.gov/Archives/edgar/data/32604/000003260403000015/0000032604-03-000015.txt,1
AN,350698,1996-03-28,https://www.sec.gov/Archives/edgar/data/350698/0000950144-96-001288.txt,1
FTR,20520,2008-02-28,https://www.sec.gov/Archives/edgar/data/20520/000002052008000013/0000020520-08-000013.txt,0
KEY,91576,2008-02-28,https://www.sec.gov/Archives/edgar/data/91576/000095015208001528/0000950152-08-001528.txt,0
BAC,70858,2011-02-25,https://www.sec.gov/Archives/edgar/data/70858/000095012311018743/0000950123-11-018743.txt,0
FTR,20520,2004-03-15,https://www.sec.gov/Archives/edgar/data/20520/000002052004000011/0000020520-04-000011.txt,1
XLNX,743988,2002-06-17,https://www.sec.gov/Archives/edgar/data/743988/000101287002002739/0001012870-02-002739.txt,0
WU,1365135,2008-02-26,https://www.sec.gov/Archives/edgar/data/1365135/000119312508038154/0001193125-08-038154.txt,0
CERN,804753,1997-03-28,https://www.sec.gov/Archives/edgar/data/804753/0000804753-97-000010.txt,1
MTB,36270,1995-03-24,https://www.sec.gov/Archives/edgar/data/36270/0000889749-95-000005.txt,1
SHW,89800,2002-03-14,https://www.sec.gov/Archives/edgar/data/89800/000095015202001777/0000950152-02-001777.txt,1
MAT,63276,2006-02-27,https://www.sec.gov/Archives/edgar/data/63276/000119312506039887/0001193125-06-039887.txt,1
INTC,50863,2000-03-23,https://www.sec.gov/Archives/edgar/data/50863/0001012870-00-001562.txt,0
JNPR,1043604,2016-02-19,https://www.sec.gov/Archives/edgar/data/1043604/000104360416000219/0001043604-16-000219.txt,1
MON,1110783,2010-10-27,https://www.sec.gov/Archives/edgar/data/1110783/000095012310096537/0000950123-10-096537.txt,0
IP,51434,2017-02-22,https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/0000051434-17-000007.txt,1
MCO,1059556,2009-03-02,https://www.sec.gov/Archives/edgar/data/1059556/000119312509041352/0001193125-09-041352.txt,1
XOM,34088,2006-02-28,https://www.sec.gov/Archives/edgar/data/34088/000119312506040951/0001193125-06-040951.txt,1
DAL,27904,2015-02-11,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/0000027904-15-000003.txt,1
HBAN,49196,2004-03-05,https://www.sec.gov/Archives/edgar/data/49196/000119312504035604/0001193125-04-035604.txt,1
FTR,20520,2002-03-12,https://www.sec.gov/Archives/edgar/data/20520/000002052002000007/0000020520-02-000007.txt,0
MYL,69499,2000-06-23,https://www.sec.gov/Archives/edgar/data/69499/000006949900500019/0000069499-00-500019.txt,1
PFE,78003,1994-03-25,https://www.sec.gov/Archives/edgar/data/78003/0000891554-94-000029.txt,1
LUV,92380,1996-03-28,https://www.sec.gov/Archives/edgar/data/92380/0000950134-96-000944.txt,0
PNC,713676,2015-03-02,https://www.sec.gov/Archives/edgar/data/713676/000119312515070443/0001193125-15-070443.txt,1
WMT,104169,2014-03-21,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/0000104169-14-000019.txt,1
AVY,8818,1999-03-31,https://www.sec.gov/Archives/edgar/data/8818/0000898430-99-001342.txt,1
ALXN,899866,2015-02-06,https://www.sec.gov/Archives/edgar/data/899866/000089986615000016/0000899866-15-000016.txt,1
FSLR,1274494,2008-02-21,https://www.sec.gov/Archives/edgar/data/1274494/000095015308000367/0000950153-08-000367.txt,0
ADSK,769397,2009-03-20,https://www.sec.gov/Archives/edgar/data/769397/000119312509059920/0001193125-09-059920.txt,1
WY,106535,2017-02-24,https://www.sec.gov/Archives/edgar/data/106535/000010653517000007/0000106535-17-000007.txt,1
AMT,1053507,2017-02-27,https://www.sec.gov/Archives/edgar/data/1053507/000105350717000009/0001053507-17-000009.txt,1
QCOM,804328,2011-11-02,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360.txt,1
KEY,91576,2006-02-28,https://www.sec.gov/Archives/edgar/data/91576/000095015206001519/0000950152-06-001519.txt,1
MRK,310158,1996-02-28,https://www.sec.gov/Archives/edgar/data/310158/0000310158-96-000005.txt,1
NWL,814453,2006-02-16,https://www.sec.gov/Archives/edgar/data/814453/000095013706001966/0000950137-06-001966.txt,1
VMC,1396009,2016-02-25,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/0001396009-16-000044.txt,1
GPC,40987,2007-02-28,https://www.sec.gov/Archives/edgar/data/40987/000095014407001699/0000950144-07-001699.txt,1
FOSL,883569,2003-04-04,https://www.sec.gov/Archives/edgar/data/883569/000110465903006038/0001104659-03-006038.txt,1
MYL,69499,2002-06-17,https://www.sec.gov/Archives/edgar/data/69499/000006949902000016/0000069499-02-000016.txt,0
MRO,101778,2011-02-28,https://www.sec.gov/Archives/edgar/data/101778/000119312511047891/0001193125-11-047891.txt,1
WY,106535,2009-02-27,https://www.sec.gov/Archives/edgar/data/106535/000119312509039546/0001193125-09-039546.txt,1
CI,701221,2003-02-28,https://www.sec.gov/Archives/edgar/data/701221/000095015903000165/0000950159-03-000165.txt,1
XOM,34088,2017-02-22,https://www.sec.gov/Archives/edgar/data/34088/000003408817000017/0000034088-17-000017.txt,0
NSC,702165,2017-02-06,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/0000702165-17-000018.txt,1
FL,850209,2003-05-19,https://www.sec.gov/Archives/edgar/data/850209/000095012303006233/0000950123-03-006233.txt,1
EXPD,746515,2017-02-23,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/0000746515-17-000007.txt,1
PFG,1126328,2002-03-12,https://www.sec.gov/Archives/edgar/data/1126328/000112632802000031/0001126328-02-000031.txt,1
MTB,36270,2004-02-26,https://www.sec.gov/Archives/edgar/data/36270/000095015204001428/0000950152-04-001428.txt,1
CNP,1130310,2006-03-16,https://www.sec.gov/Archives/edgar/data/1130310/000095013406005252/0000950134-06-005252.txt,1
NWL,814453,1999-03-19,https://www.sec.gov/Archives/edgar/data/814453/0000895813-99-000143.txt,0
CVX,93410,2009-02-26,https://www.sec.gov/Archives/edgar/data/93410/000089161809000054/0000891618-09-000054.txt,1
GPS,39911,2001-04-05,https://www.sec.gov/Archives/edgar/data/39911/000092962401000565/0000929624-01-000565.txt,0
EQR,906107,2012-02-24,https://www.sec.gov/Archives/edgar/data/906107/000090610712000004/0000906107-12-000004.txt,1
IBM,51143,2014-02-25,https://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302.txt,0
MAS,62996,2011-02-18,https://www.sec.gov/Archives/edgar/data/62996/000095012311015716/0000950123-11-015716.txt,0
CI,701221,2009-02-26,https://www.sec.gov/Archives/edgar/data/701221/000089322009000405/0000893220-09-000405.txt,1
OI,812074,2008-02-29,https://www.sec.gov/Archives/edgar/data/812074/000110465908014206/0001104659-08-014206.txt,0
XLNX,743988,2001-06-12,https://www.sec.gov/Archives/edgar/data/743988/000101287001501165/0001012870-01-501165.txt,0
TMK,320335,1999-03-12,https://www.sec.gov/Archives/edgar/data/320335/0000931763-99-000710.txt,0
HON,773840,2003-03-06,https://www.sec.gov/Archives/edgar/data/773840/000095011703000910/0000950117-03-000910.txt,1
EMR,32604,1994-12-22,https://www.sec.gov/Archives/edgar/data/32604/0000032604-94-000022.txt,1
KO,21344,2007-02-21,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328.txt,1
GMCR,909954,2003-12-22,https://www.sec.gov/Archives/edgar/data/909954/000090995403000045/0000909954-03-000045.txt,1
AZO,866787,2013-10-28,https://www.sec.gov/Archives/edgar/data/866787/000119312513413428/0001193125-13-413428.txt,1
DNR,945764,2012-02-28,https://www.sec.gov/Archives/edgar/data/945764/000094576412000013/0000945764-12-000013.txt,1
REGN,872589,2016-02-11,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/0001532176-16-000045.txt,0
KO,21344,2006-02-28,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588.txt,1
ADM,7084,2000-09-28,https://www.sec.gov/Archives/edgar/data/7084/000000708400000039/0000007084-00-000039.txt,1
VMC,1396009,2015-02-27,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/0001396009-15-000005.txt,1
MYL,69499,2007-05-30,https://www.sec.gov/Archives/edgar/data/69499/000095015207004808/0000950152-07-004808.txt,0
DNR,945764,2005-03-15,https://www.sec.gov/Archives/edgar/data/945764/000089907805000209/0000899078-05-000209.txt,1
DTE,936340,2003-03-24,https://www.sec.gov/Archives/edgar/data/936340/000095012403000824/0000950124-03-000824.txt,0
ADSK,769397,2016-03-23,https://www.sec.gov/Archives/edgar/data/769397/000076939716000067/0000769397-16-000067.txt,1
AXP,4962,2007-03-01,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/0000950123-07-003020.txt,0
REGN,872589,2012-02-21,https://www.sec.gov/Archives/edgar/data/872589/000120677412000709/0001206774-12-000709.txt,1
WMT,104169,2005-03-31,https://www.sec.gov/Archives/edgar/data/104169/000119312505066992/0001193125-05-066992.txt,0
CBG,1138118,2007-03-01,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/0001193125-07-044383.txt,0
AN,350698,2013-02-15,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021.txt,1
SNDK,1000180,2009-02-25,https://www.sec.gov/Archives/edgar/data/1000180/000100018009000011/0001000180-09-000011.txt,1
SHW,89800,2016-02-24,https://www.sec.gov/Archives/edgar/data/89800/000008980016000026/0000089800-16-000026.txt,1
GD,40533,2014-02-07,https://www.sec.gov/Archives/edgar/data/40533/000004053314000002/0000040533-14-000002.txt,1
BAC,70858,2005-03-01,https://www.sec.gov/Archives/edgar/data/70858/000119312505039878/0001193125-05-039878.txt,1
MYL,69499,2001-06-26,https://www.sec.gov/Archives/edgar/data/69499/000006949901500029/0000069499-01-500029.txt,1
XRX,108772,2006-02-21,https://www.sec.gov/Archives/edgar/data/108772/000119312506034814/0001193125-06-034814.txt,1
PBCT,1378946,2015-03-02,https://www.sec.gov/Archives/edgar/data/1378946/000119312515073217/0001193125-15-073217.txt,1
CELG,816284,2014-02-13,https://www.sec.gov/Archives/edgar/data/816284/000144530514000438/0001445305-14-000438.txt,1
ADSK,769397,2017-03-21,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/0000769397-17-000014.txt,1
CMS,811156,2000-03-30,https://www.sec.gov/Archives/edgar/data/811156/0000950124-00-001799.txt,1
PGR,80661,1995-03-28,https://www.sec.gov/Archives/edgar/data/80661/0000950152-95-000465.txt,1
CBG,1138118,2006-03-15,https://www.sec.gov/Archives/edgar/data/1138118/000119312506055100/0001193125-06-055100.txt,0
WAT,1000697,2014-02-27,https://www.sec.gov/Archives/edgar/data/1000697/000119312514072515/0001193125-14-072515.txt,1
ARG,804212,2004-06-14,https://www.sec.gov/Archives/edgar/data/804212/000089322004001186/0000893220-04-001186.txt,1
DTE,936340,2009-02-27,https://www.sec.gov/Archives/edgar/data/936340/000095015209001957/0000950152-09-001957.txt,1
GPC,40987,2016-02-26,https://www.sec.gov/Archives/edgar/data/40987/000119312516479829/0001193125-16-479829.txt,1
JNJ,200406,2010-03-01,https://www.sec.gov/Archives/edgar/data/200406/000095012310019392/0000950123-10-019392.txt,0
PBCT,1378946,2016-02-29,https://www.sec.gov/Archives/edgar/data/1378946/000119312516485012/0001193125-16-485012.txt,1
SBUX,829224,2007-11-29,https://www.sec.gov/Archives/edgar/data/829224/000095013407024667/0000950134-07-024667.txt,0
JPM,19617,1997-03-25,https://www.sec.gov/Archives/edgar/data/19617/0000950123-97-002412.txt,1
IP,51434,2008-02-29,https://www.sec.gov/Archives/edgar/data/51434/000119312508042850/0001193125-08-042850.txt,0
APC,773910,2006-03-03,https://www.sec.gov/Archives/edgar/data/773910/000095012906002239/0000950129-06-002239.txt,0
GE,40545,2008-02-20,https://www.sec.gov/Archives/edgar/data/40545/000004054508000011/0000040545-08-000011.txt,0
SNDK,1000180,2010-02-25,https://www.sec.gov/Archives/edgar/data/1000180/000100018010000008/0001000180-10-000008.txt,1
PNR,77360,1995-03-31,https://www.sec.gov/Archives/edgar/data/77360/0000077360-95-000006.txt,1
IVZ,914208,2012-02-24,https://www.sec.gov/Archives/edgar/data/914208/000091420812000332/0000914208-12-000332.txt,1
DLTR,935703,2000-03-17,https://www.sec.gov/Archives/edgar/data/935703/0000935703-00-000011.txt,0
XOM,34088,2002-03-27,https://www.sec.gov/Archives/edgar/data/34088/000093066102000889/0000930661-02-000889.txt,0
SHW,89800,2009-02-24,https://www.sec.gov/Archives/edgar/data/89800/000095015209001707/0000950152-09-001707.txt,1
MMC,62709,2010-02-26,https://www.sec.gov/Archives/edgar/data/62709/000119312510042765/0001193125-10-042765.txt,1
DLTR,935703,2014-03-14,https://www.sec.gov/Archives/edgar/data/935703/000093570314000008/0000935703-14-000008.txt,1
VMC,1396009,2017-02-24,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/0001396009-17-000005.txt,1
EBAY,1065088,2015-02-06,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/0001065088-15-000054.txt,1
ED,1047862,2002-03-27,https://www.sec.gov/Archives/edgar/data/1047862/000091205702011931/0000912057-02-011931.txt,1
CBG,1138118,2008-02-29,https://www.sec.gov/Archives/edgar/data/1138118/000119312508043674/0001193125-08-043674.txt,0
RSG,1060391,2009-03-02,https://www.sec.gov/Archives/edgar/data/1060391/000095015309000172/0000950153-09-000172.txt,1
UNP,100885,2006-02-24,https://www.sec.gov/Archives/edgar/data/100885/000119312506038383/0001193125-06-038383.txt,1
MHK,851968,2017-02-27,https://www.sec.gov/Archives/edgar/data/851968/000085196817000020/0000851968-17-000020.txt,1
NWL,814453,2007-03-01,https://www.sec.gov/Archives/edgar/data/814453/000095013707003109/0000950137-07-003109.txt,0
WMB,107263,2004-03-15,https://www.sec.gov/Archives/edgar/data/107263/000095013404003499/0000950134-04-003499.txt,1
LH,920148,2014-02-25,https://www.sec.gov/Archives/edgar/data/920148/000092014814000021/0000920148-14-000021.txt,1
CELG,816284,2000-03-30,https://www.sec.gov/Archives/edgar/data/816284/0001005150-00-000449.txt,1
GE,40545,2013-02-26,https://www.sec.gov/Archives/edgar/data/40545/000004054513000036/0000040545-13-000036.txt,1
AN,350698,2015-02-11,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045.txt,0
MRK,310158,2013-02-28,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/0001193125-13-084618.txt,1
PXD,1038357,2009-02-25,https://www.sec.gov/Archives/edgar/data/1038357/000103835709000008/0001038357-09-000008.txt,1
DNR,945764,2017-03-01,https://www.sec.gov/Archives/edgar/data/945764/000094576417000013/0000945764-17-000013.txt,0
VFC,103379,2011-03-02,https://www.sec.gov/Archives/edgar/data/103379/000095012311021306/0000950123-11-021306.txt,1
ZTS,1555280,2014-03-26,https://www.sec.gov/Archives/edgar/data/1555280/000155528014000164/0001555280-14-000164.txt,1
HIG,874766,2009-02-12,https://www.sec.gov/Archives/edgar/data/874766/000136231009001777/0001362310-09-001777.txt,1
PNC,713676,1995-03-31,https://www.sec.gov/Archives/edgar/data/713676/0000950128-95-000076.txt,1
XRX,108772,1996-03-28,https://www.sec.gov/Archives/edgar/data/108772/0000108772-96-000005.txt,1
APH,820313,2013-02-22,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/0001104659-13-013180.txt,1
TWX,1105705,2008-02-22,https://www.sec.gov/Archives/edgar/data/1105705/000095014408001291/0000950144-08-001291.txt,0
MCO,1059556,2016-02-25,https://www.sec.gov/Archives/edgar/data/1059556/000119312516476427/0001193125-16-476427.txt,0
IP,51434,2014-02-27,https://www.sec.gov/Archives/edgar/data/51434/000005143414000003/0000051434-14-000003.txt,1
PFE,78003,2013-02-28,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/0000078003-13-000006.txt,1
WFC,72971,2002-03-15,https://www.sec.gov/Archives/edgar/data/72971/000091205702010174/0000912057-02-010174.txt,1
ACE,896159,2013-02-28,https://www.sec.gov/Archives/edgar/data/896159/000089615913000003/0000896159-13-000003.txt,1
PXD,1038357,2014-02-27,https://www.sec.gov/Archives/edgar/data/1038357/000103835714000022/0001038357-14-000022.txt,0
MMM,66740,2013-02-14,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881.txt,1
IP,51434,1994-03-31,https://www.sec.gov/Archives/edgar/data/51434/0000950115-94-000073.txt,1
LMT,936468,2002-03-07,https://www.sec.gov/Archives/edgar/data/936468/000092838502000673/0000928385-02-000673.txt,1
ED,1047862,2007-02-21,https://www.sec.gov/Archives/edgar/data/1047862/000119312507036143/0001193125-07-036143.txt,1
DIS,1001039,2001-12-10,https://www.sec.gov/Archives/edgar/data/1001039/000089843001503823/0000898430-01-503823.txt,0
DLTR,935703,2004-04-13,https://www.sec.gov/Archives/edgar/data/935703/000093570304000034/0000935703-04-000034.txt,0
MRO,101778,2009-02-27,https://www.sec.gov/Archives/edgar/data/101778/000119312509041003/0001193125-09-041003.txt,1
DE,315189,2007-12-20,https://www.sec.gov/Archives/edgar/data/315189/000110465907090067/0001104659-07-090067.txt,1
ALXN,899866,2002-10-29,https://www.sec.gov/Archives/edgar/data/899866/000092701602005101/0000927016-02-005101.txt,0
SYK,310764,2003-03-14,https://www.sec.gov/Archives/edgar/data/310764/000031076403000008/0000310764-03-000008.txt,1
JEC,52988,2004-12-13,https://www.sec.gov/Archives/edgar/data/52988/000119312504211891/0001193125-04-211891.txt,0
JWN,72333,2015-03-16,https://www.sec.gov/Archives/edgar/data/72333/000007233315000041/0000072333-15-000041.txt,0
PFE,78003,2000-03-27,https://www.sec.gov/Archives/edgar/data/78003/0000930413-00-000548.txt,1
ETR,65984,1999-03-12,https://www.sec.gov/Archives/edgar/data/65984/0000065984-99-000060.txt,0
FL,850209,2008-03-31,https://www.sec.gov/Archives/edgar/data/850209/000120677408000652/0001206774-08-000652.txt,0
TXN,97476,2008-02-26,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572.txt,0
T,732717,2004-03-11,https://www.sec.gov/Archives/edgar/data/732717/000073271704000205/0000732717-04-000205.txt,1
MO,764180,2010-02-24,https://www.sec.gov/Archives/edgar/data/764180/000119312510039027/0001193125-10-039027.txt,1
SIAL,90185,2000-03-30,https://www.sec.gov/Archives/edgar/data/90185/0000950131-00-002203.txt,1
EXPD,746515,2007-03-01,https://www.sec.gov/Archives/edgar/data/746515/000110465907015464/0001104659-07-015464.txt,1
SYK,310764,2013-02-27,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/0000310764-13-000054.txt,1
UTX,101829,1999-02-16,https://www.sec.gov/Archives/edgar/data/101829/0000101829-99-000003.txt,1
LUV,92380,2017-02-07,https://www.sec.gov/Archives/edgar/data/92380/000009238017000029/0000092380-17-000029.txt,1
PX,884905,2006-03-01,https://www.sec.gov/Archives/edgar/data/884905/000088490506000030/0000884905-06-000030.txt,1
WM,823768,2014-02-18,https://www.sec.gov/Archives/edgar/data/823768/000119312514056656/0001193125-14-056656.txt,1
MCD,63908,2016-02-25,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/0000063908-16-000103.txt,1
QCOM,804328,1998-11-23,https://www.sec.gov/Archives/edgar/data/804328/0000936392-98-001564.txt,1
MAS,62996,2006-03-02,https://www.sec.gov/Archives/edgar/data/62996/000095012406000949/0000950124-06-000949.txt,1
PCG,1004980,2003-02-27,https://www.sec.gov/Archives/edgar/data/1004980/000104746903007123/0001047469-03-007123.txt,1
GPC,40987,2004-03-08,https://www.sec.gov/Archives/edgar/data/40987/000095014404002091/0000950144-04-002091.txt,1
MCD,63908,2004-03-05,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/0001193125-04-035282.txt,1
PNC,713676,2004-03-12,https://www.sec.gov/Archives/edgar/data/713676/000119312504040348/0001193125-04-040348.txt,1
HIG,874766,1997-03-28,https://www.sec.gov/Archives/edgar/data/874766/0000948572-97-000016.txt,1
CCL,815097,1995-02-24,https://www.sec.gov/Archives/edgar/data/815097/0000950144-95-000480.txt,1
IVZ,914208,2011-02-25,https://www.sec.gov/Archives/edgar/data/914208/000095012311018684/0000950123-11-018684.txt,0
AXP,4962,2003-03-27,https://www.sec.gov/Archives/edgar/data/4962/000000496203000042/0000004962-03-000042.txt,1
CCL,815097,1997-02-28,https://www.sec.gov/Archives/edgar/data/815097/0000815097-97-000001.txt,1
INTC,50863,2015-02-13,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/0000050863-15-000015.txt,0
XOM,34088,2013-02-27,https://www.sec.gov/Archives/edgar/data/34088/000003408813000011/0000034088-13-000011.txt,1
BLK,1364742,2017-02-28,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816.txt,1
KEY,91576,2002-03-28,https://www.sec.gov/Archives/edgar/data/91576/000095015202002483/0000950152-02-002483.txt,1
TXN,97476,1998-02-23,https://www.sec.gov/Archives/edgar/data/97476/0000097476-98-000008.txt,1
XRX,108772,2007-02-16,https://www.sec.gov/Archives/edgar/data/108772/000119312507034083/0001193125-07-034083.txt,0
A,1090872,2014-12-22,https://www.sec.gov/Archives/edgar/data/1090872/000109087214000045/0001090872-14-000045.txt,0
PBI,78814,1997-03-31,https://www.sec.gov/Archives/edgar/data/78814/0000078814-97-000001.txt,1
RSG,1060391,2015-02-23,https://www.sec.gov/Archives/edgar/data/1060391/000106039115000010/0001060391-15-000010.txt,1
FTR,20520,2007-03-01,https://www.sec.gov/Archives/edgar/data/20520/000002052007000009/0000020520-07-000009.txt,0
PRU,1137774,2011-02-25,https://www.sec.gov/Archives/edgar/data/1137774/000119312511047467/0001193125-11-047467.txt,0
DIS,1001039,2012-11-21,https://www.sec.gov/Archives/edgar/data/1001039/000119312512479027/0001193125-12-479027.txt,1
SYMC,849399,2000-06-26,https://www.sec.gov/Archives/edgar/data/849399/000089161800003551/0000891618-00-003551.txt,0
FL,850209,2002-04-29,https://www.sec.gov/Archives/edgar/data/850209/000095012302004331/0000950123-02-004331.txt,0
VFC,103379,2007-02-27,https://www.sec.gov/Archives/edgar/data/103379/000089322007000491/0000893220-07-000491.txt,0
CAT,18230,2011-02-22,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/0001104659-11-008938.txt,0
PCAR,75362,2004-03-12,https://www.sec.gov/Archives/edgar/data/75362/000110465904007210/0001104659-04-007210.txt,1
WFC,72971,2010-02-26,https://www.sec.gov/Archives/edgar/data/72971/000095012310017877/0000950123-10-017877.txt,1
CELG,816284,2017-02-10,https://www.sec.gov/Archives/edgar/data/816284/000081628417000003/0000816284-17-000003.txt,0
HBAN,49196,2007-02-22,https://www.sec.gov/Archives/edgar/data/49196/000095015207001395/0000950152-07-001395.txt,0
